Step,Term/Field,Definition,Data Type,Example Values,Context
1 - Investor Personas,code,Unique persona identifier,string,"P001, P002, P003",Persona identification
1 - Investor Personas,name,Display name of the persona,string,"The Retirement Planner, The Property Lover",Persona labeling
1 - Investor Personas,portfolioValue,Total investment portfolio value,number,"1250000, 780000, 2400000",Financial capacity
1 - Investor Personas,wealthTier,Wealth classification category,string,"Mass-Affluent, Upper Mass-Affluent, HNW, UHNW",Wealth segmentation
1 - Investor Personas,approach,Investment management style preference,string,"SELF_DIRECTED, HYBRID, FULL_SERVICE",Management approach
1 - Investor Personas,riskProfile,Risk tolerance classification,string,"Conservative, Balanced, Growth, Aggressive",Risk assessment
1 - Investor Personas,age_range,Age bracket for the persona,array of numbers,"[55, 70], [22, 40], [35, 60]",Demographic targeting
1 - Investor Personas,goals,List of investment objectives,array of strings,Investment income goals and strategies,Investment planning
1 - Investor Personas,scores,8-dimensional persona scores,array of numbers,"[3.0, 3.0, 2.5, 4.0, 3.0, 4.5, 3.5, 3.0]",Multi-dimensional profiling
1 - Investor Personas,liquidityMonths,Months of liquidity preference,number,"2, 6, 9, 12",Liquidity planning
1 - Investor Personas,drawdownCap,Maximum acceptable portfolio decline,decimal,"0.18, 0.24, 0.32, 0.35",Risk constraint
1 - Investor Personas,notes,Descriptive summary of persona characteristics,string,"Pension-focused diversified, 78% property tilt",Persona summary
1 - Investor Personas,propertyBias,Preference weighting for property investments,decimal,"0.30, 0.85, 0.60",Asset class bias
1 - Investor Personas,techBias,Preference weighting for technology investments,decimal,"0.30, 0.70, 0.10",Asset class bias
1 - Investor Personas,altBias,Preference weighting for alternative investments,decimal,"0.25, 0.45, 0.50",Asset class bias
1 - Investor Personas,concentrationTolerance,Tolerance for portfolio concentration,string,"low, med, high",Diversification preference
2 - Profile Discovery,Risk Tolerance,Dimension 0 - Appetite for investment risk,number,0-5 scale,8-dimensional scoring
2 - Profile Discovery,Property Allocation,Dimension 1 - Preference for property investments,number,0-5 scale,8-dimensional scoring
2 - Profile Discovery,Alternative Investments,Dimension 2 - Interest in alternative assets,number,0-5 scale,8-dimensional scoring
2 - Profile Discovery,Tax Optimization,Dimension 3 - Focus on tax-efficient investing,number,0-5 scale,8-dimensional scoring
2 - Profile Discovery,Income Focus,Dimension 4 - Emphasis on generating income,number,0-5 scale,8-dimensional scoring
2 - Profile Discovery,Time Horizon,Dimension 5 - Investment time frame preference,number,0-5 scale,8-dimensional scoring
2 - Profile Discovery,Liquidity Needs,Dimension 6 - Requirement for accessible funds,number,0-5 scale,8-dimensional scoring
2 - Profile Discovery,Advisory Preference,Dimension 7 - Preference for professional guidance,number,0-5 scale,8-dimensional scoring
2 - Profile Discovery,questionId,Unique identifier for each quiz question,string,"risk_tolerance, asset_preference, liquidity",Question management
2 - Profile Discovery,optionIndex,Index of selected answer option,number,"0, 1, 2",Response tracking
2 - Profile Discovery,scores,8-dimensional score weights for each answer,array of numbers,"[5,0,0,0,0,0,0,0], [3,0,0,0,0,0,0,0]",Scoring algorithm
2 - Profile Discovery,matchScore,Percentage match with selected persona,number,0-100,Persona alignment
2 - Profile Discovery,confidence,Confidence level in persona match,number,0-100,Match reliability
2 - Profile Discovery,userProfile,Normalized user scores across 8 dimensions,array of numbers,8 values from 0-5,User profiling
2 - Profile Discovery,alignedDimensions,Dimensions where user aligns with persona,array of strings,Dimension labels,Alignment analysis
2 - Profile Discovery,notableDifferences,Dimensions with significant misalignment,array of strings,Dimension labels,Gap identification
3 - Economic Beliefs,id,Unique identifier for belief question,string,"q10_ai_effect, q12_energy_up_20",Question identification
3 - Economic Beliefs,prompt,The belief question text,string,"In your field, AI will...",Question content
3 - Economic Beliefs,text,Answer option text,string,"Replace many jobs including mine",Response option
3 - Economic Beliefs,tags,Behavioral tags for user profiling,object,"{ tech_conv: -1, ai_impact: 2 }",User characterization
3 - Economic Beliefs,scenarios,Economic scenario probability weights,object,"{ ai_recession: 1.2, tech_burst: 0.4 }",Scenario mapping
3 - Economic Beliefs,property_down,Property market decline scenario weight,decimal,0.0-1.0,Economic scenario
3 - Economic Beliefs,recession,Economic recession scenario weight,decimal,0.0-1.0,Economic scenario
3 - Economic Beliefs,energy_spike,Energy price spike scenario weight,decimal,0.0-1.0,Economic scenario
3 - Economic Beliefs,stagflation,Stagflation scenario weight,decimal,0.0-1.0,Economic scenario
3 - Economic Beliefs,devaluation,Currency devaluation scenario weight,decimal,0.0-1.0,Economic scenario
